Tool ,Cutting speed (V),Feed (F),Depth of Cut (D),a,(F) ^ a,b,(D) ^ b,V * Fa * Db,RHS,n,1/n,Tool Life (min),Tool failure (min)
102,700,0.16,0.22,0.6,0.333021283,0.15,0.796825827,185.7519714,5.448125219,0.33,3.03030303,170.2361386,165.39
103,900,0.15,0.2,0.6,0.32037215,0.15,0.78551503,226.491425,4.468160329,0.33,3.03030303,93.34415229,84.42
104,900,0.2,0.21,0.6,0.380730788,0.15,0.791284929,271.139881,3.73239081,0.33,3.03030303,54.11208612,50.03
105,1100,0.19,0.29,0.6,0.369191897,0.15,0.830538367,337.2908388,3.000377963,0.33,3.03030303,27.92465261,24.85
106,800,0.16,0.26,0.6,0.333021283,0.15,0.817045048,217.6747121,4.64913903,0.33,3.03030303,105.2788207,105.1
107,800,0.19,0.24,0.6,0.369191897,0.15,0.807293929,238.4371015,4.244305914,0.33,3.03030303,79.8811817,71.95
108,1100,0.13,0.26,0.6,0.294012647,0.15,0.817045048,264.2437346,3.829797522,0.33,3.03030303,58.50586917,53.57
109,800,0.13,0.21,0.6,0.294012647,0.15,0.791284929,186.1182209,5.43740422,0.33,3.03030303,169.2230251,167.44
110,800,0.13,0.28,0.6,0.294012647,0.15,0.826178149,194.3254594,5.207758176,0.33,3.03030303,148.4803968,140.29
111,1100,0.17,0.26,0.6,0.345357867,0.15,0.817045048,310.3902282,3.260411921,0.33,3.03030303,35.9228784,26.78
112,1200,0.1,0.22,0.6,0.251188643,0.15,0.796825827,240.184318,4.213430788,0.33,3.03030303,78.13326135,76.15
113,1100,0.13,0.21,0.6,0.294012647,0.15,0.791284929,255.9125538,3.954475796,0.33,3.03030303,64.47040062,62.74
114,1200,0.12,0.31,0.6,0.280226206,0.15,0.838888526,282.094259,3.58745337,0.33,3.03030303,47.99218237,42.79
115,1200,0.14,0.31,0.6,0.30738086,0.15,0.838888526,309.4299317,3.270530405,0.33,3.03030303,36.26177539,26.68
116,1000,0.17,0.19,0.6,0.345357867,0.15,0.779494473,269.2045482,3.759223263,0.33,3.03030303,55.29954708,45.62
117,1200,0.15,0.22,0.6,0.32037215,0.15,0.796825827,306.3369638,3.303551708,0.33,3.03030303,37.38264504,30.85
118,900,0.13,0.25,0.6,0.294012647,0.15,0.812252396,214.931229,4.708482823,0.33,3.03030303,109.404026,104.45
119,900,0.13,0.31,0.6,0.294012647,0.15,0.838888526,221.979452,4.558980531,0.33,3.03030303,99.21307306,93.77
120,800,0.12,0.26,0.6,0.280226206,0.15,0.817045048,183.1659475,5.525044442,0.33,3.03030303,177.6242882,172.37
121,700,0.2,0.3,0.6,0.380730788,0.15,0.834772605,222.476542,4.548794182,0.33,3.03030303,98.54284846,94.32
122,1200,0.2,0.28,0.6,0.380730788,0.15,0.826178149,377.4617492,2.681066365,0.33,3.03030303,19.85645474,16.73
123,1200,0.1,0.3,0.6,0.251188643,0.15,0.834772605,251.6224776,4.021898241,0.33,3.03030303,67.8592926,60.18
124,800,0.16,0.23,0.6,0.333021283,0.15,0.802156626,213.7081831,4.735429339,0.33,3.03030303,111.3123923,107.16
125,700,0.2,0.29,0.6,0.380730788,0.15,0.830538367,221.3480687,4.571984774,0.33,3.03030303,100.0731341,99.98
126,900,0.17,0.26,0.6,0.345357867,0.15,0.817045048,253.9556412,3.984947903,0.33,3.03030303,65.98763596,63.49
127,1200,0.2,0.19,0.6,0.380730788,0.15,0.779494473,356.1330537,2.841634579,0.33,3.03030303,23.68367967,16.91
128,1000,0.13,0.3,0.6,0.294012647,0.15,0.834772605,245.4337028,4.123313092,0.33,3.03030303,73.17837586,63.37
129,1200,0.17,0.21,0.6,0.345357867,0.15,0.791284929,327.93177,3.0860078,0.33,3.03030303,30.41033966,26.15
130,800,0.11,0.29,0.6,0.265971811,0.15,0.830538367,176.7198352,5.726578452,0.33,3.03030303,197.9940621,188.41
131,1000,0.1,0.21,0.6,0.251188643,0.15,0.791284929,198.7617877,5.091521925,0.33,3.03030303,138.6636027,137.98
132,1100,0.18,0.31,0.6,0.357407369,0.15,0.838888526,329.8074353,3.068457202,0.33,3.03030303,29.88927386,21.56
133,1100,0.18,0.29,0.6,0.357407369,0.15,0.830538367,326.5245863,3.099307196,0.33,3.03030303,30.80921838,24.58
134,1200,0.17,0.25,0.6,0.345357867,0.15,0.812252396,336.6213057,3.006345656,0.33,3.03030303,28.0933005,21.22
135,1000,0.14,0.22,0.6,0.30738086,0.15,0.796825827,244.929008,4.131809492,0.33,3.03030303,73.63627056,68.26
136,900,0.11,0.2,0.6,0.265971811,0.15,0.78551503,188.0323699,5.382052039,0.33,3.03030303,164.056565,156.09
137,1200,0.13,0.31,0.6,0.294012647,0.15,0.838888526,295.9726027,3.419235399,0.33,3.03030303,41.49221978,39.84
138,700,0.19,0.27,0.6,0.369191897,0.15,0.821683497,212.3512223,4.765689544,0.33,3.03030303,113.4818761,112.65
139,800,0.16,0.3,0.6,0.333021283,0.15,0.834772605,222.3976351,4.550408099,0.33,3.03030303,98.64883545,97
140,1100,0.11,0.3,0.6,0.265971811,0.15,0.834772605,244.22858,4.143659189,0.33,3.03030303,74.27808373,73.41
141,1200,0.17,0.23,0.6,0.345357867,0.15,0.802156626,332.4373213,3.044182873,0.33,3.03030303,29.17849201,19.27
142,900,0.1,0.19,0.6,0.251188643,0.15,0.779494473,176.2201431,5.74281681,0.33,3.03030303,199.7002808,198.5
143,1200,0.1,0.24,0.6,0.251188643,0.15,0.807293929,243.3396798,4.158795642,0.33,3.03030303,75.10335427,71.53
144,700,0.1,0.25,0.6,0.251188643,0.15,0.812252396,142.8200041,7.085842114,0.33,3.03030303,377.5233795,374.58
145,800,0.1,0.26,0.6,0.251188643,0.15,0.817045048,164.1859496,6.163743014,0.33,3.03030303,247.4390573,247.09
146,1200,0.19,0.29,0.6,0.369191897,0.15,0.830538367,367.9536423,2.750346467,0.33,3.03030303,21.45245445,15.73
147,700,0.15,0.26,0.6,0.32037215,0.15,0.817045048,183.230935,5.523084845,0.33,3.03030303,177.433451,168.1
148,1200,0.19,0.25,0.6,0.369191897,0.15,0.812252396,359.8524036,2.812264111,0.33,3.03030303,22.94965042,22.3
149,900,0.15,0.25,0.6,0.32037215,0.15,0.812252396,234.2007417,4.321079398,0.33,3.03030303,84.34068231,79.79
150,1000,0.14,0.25,0.6,0.30738086,0.15,0.812252396,249.6708402,4.053336783,0.33,3.03030303,69.47949221,60.18
151,1100,0.17,0.27,0.6,0.345357867,0.15,0.821683497,312.1523455,3.242006714,0.33,3.03030303,35.31188806,27.09
152,900,0.14,0.28,0.6,0.30738086,0.15,0.826178149,228.5562151,4.427794709,0.33,3.03030303,90.81213154,84.12
153,700,0.17,0.19,0.6,0.345357867,0.15,0.779494473,188.4431837,5.370318947,0.33,3.03030303,162.9751739,155.06
154,1000,0.19,0.28,0.6,0.369191897,0.15,0.826178149,305.0182783,3.317833953,0.33,3.03030303,37.87454427,36.21
155,1100,0.15,0.31,0.6,0.32037215,0.15,0.838888526,295.6321724,3.423172762,0.33,3.03030303,41.63717599,38.64
156,900,0.11,0.23,0.6,0.265971811,0.15,0.802156626,192.0159459,5.27039562,0.33,3.03030303,153.9585055,146.62
157,1100,0.11,0.23,0.6,0.265971811,0.15,0.802156626,234.686156,4.312141871,0.33,3.03030303,83.81316576,79.93
158,1000,0.17,0.28,0.6,0.345357867,0.15,0.826178149,285.3271231,3.546806167,0.33,3.03030303,46.363275,43.24
159,1200,0.14,0.2,0.6,0.30738086,0.15,0.78551503,289.7427427,3.492753574,0.33,3.03030303,44.25511482,35.88
160,900,0.17,0.21,0.6,0.345357867,0.15,0.791284929,245.9488275,4.114677067,0.33,3.03030303,72.71491539,68.33
161,800,0.15,0.26,0.6,0.32037215,0.15,0.817045048,209.4067828,4.832699239,0.33,3.03030303,118.3865397,108.75
162,800,0.18,0.23,0.6,0.357407369,0.15,0.802156626,229.3573518,4.412328588,0.33,3.03030303,89.8543135,87.92
163,800,0.17,0.25,0.6,0.345357867,0.15,0.812252396,224.4142038,4.509518484,0.33,3.03030303,95.98704911,87.37
164,1000,0.16,0.23,0.6,0.333021283,0.15,0.802156626,267.1352288,3.788343471,0.33,3.03030303,56.60786958,53.67
165,1000,0.15,0.2,0.6,0.32037215,0.15,0.78551503,251.6571389,4.021344296,0.33,3.03030303,67.83097407,58.93
166,700,0.2,0.29,0.6,0.380730788,0.15,0.830538367,221.3480687,4.571984774,0.33,3.03030303,100.0731341,95.84
167,1000,0.13,0.3,0.6,0.294012647,0.15,0.834772605,245.4337028,4.123313092,0.33,3.03030303,73.17837586,64.26
168,900,0.17,0.25,0.6,0.345357867,0.15,0.812252396,252.4659793,4.008460875,0.33,3.03030303,67.17458573,58.69
169,800,0.2,0.28,0.6,0.380730788,0.15,0.826178149,251.6411661,4.021599548,0.33,3.03030303,67.84402197,67.81
170,800,0.15,0.22,0.6,0.32037215,0.15,0.796825827,204.2246425,4.955327562,0.33,3.03030303,127.7261739,121.83
171,1100,0.2,0.19,0.6,0.380730788,0.15,0.779494473,326.4552992,3.099964995,0.33,3.03030303,30.82903772,24.82
172,800,0.14,0.2,0.6,0.30738086,0.15,0.78551503,193.1618285,5.239130361,0.33,3.03030303,151.2075051,143.3
173,800,0.12,0.21,0.6,0.280226206,0.15,0.791284929,177.3910191,5.704911133,0.33,3.03030303,195.7326535,195.68
174,1200,0.14,0.21,0.6,0.30738086,0.15,0.791284929,291.8710105,3.46728508,0.33,3.03030303,43.28445685,33.46
175,700,0.1,0.27,0.6,0.251188643,0.15,0.821683497,144.4782939,7.004512391,0.33,3.03030303,364.5450756,355.19
176,900,0.14,0.21,0.6,0.30738086,0.15,0.791284929,218.9032579,4.623046774,0.33,3.03030303,103.4985355,96.67
177,1000,0.13,0.25,0.6,0.294012647,0.15,0.812252396,238.8124767,4.23763454,0.33,3.03030303,79.50130212,76.39
178,1000,0.15,0.21,0.6,0.32037215,0.15,0.791284929,253.5056538,3.992021419,0.33,3.03030303,66.34322118,59.25
179,700,0.16,0.29,0.6,0.333021283,0.15,0.830538367,193.6108668,5.226979336,0.33,3.03030303,150.1472993,142.32
180,700,0.18,0.27,0.6,0.357407369,0.15,0.821683497,205.5730161,4.922825083,0.33,3.03030303,125.2043473,116.91
181,1200,0.17,0.28,0.6,0.345357867,0.15,0.826178149,342.3925477,2.955671806,0.33,3.03030303,26.68277144,19.62
182,900,0.19,0.2,0.6,0.369191897,0.15,0.78551503,261.0052057,3.877317302,0.33,3.03030303,60.7335004,51.54
183,1100,0.15,0.21,0.6,0.32037215,0.15,0.791284929,278.8562192,3.629110381,0.33,3.03030303,49.70089104,39.95
184,1200,0.16,0.22,0.6,0.333021283,0.15,0.796825827,318.431951,3.178073044,0.33,3.03030303,33.24365077,31.06
185,1100,0.12,0.31,0.6,0.280226206,0.15,0.838888526,258.5864041,3.913585494,0.33,3.03030303,62.47140735,61.09
186,1200,0.18,0.27,0.6,0.357407369,0.15,0.821683497,352.4108847,2.871647965,0.33,3.03030303,24.44985906,19.5
187,1200,0.12,0.22,0.6,0.280226206,0.15,0.796825827,267.9497744,3.776827214,0.33,3.03030303,56.08801246,54.69
188,1000,0.13,0.21,0.6,0.294012647,0.15,0.791284929,232.6477762,4.349923376,0.33,3.03030303,86.05829712,84.87
189,1100,0.14,0.3,0.6,0.30738086,0.15,0.834772605,282.2524334,3.585442959,0.33,3.03030303,47.91072922,40.64
190,1200,0.15,0.29,0.6,0.32037215,0.15,0.830538367,319.2976345,3.169456615,0.33,3.03030303,32.97127882,23.13
191,1100,0.17,0.23,0.6,0.345357867,0.15,0.802156626,304.7342112,3.320926771,0.33,3.03030303,37.98163305,28.35
192,800,0.16,0.26,0.6,0.333021283,0.15,0.817045048,217.6747121,4.64913903,0.33,3.03030303,105.2788207,101.11
193,1000,0.11,0.29,0.6,0.265971811,0.15,0.830538367,220.899794,4.581262761,0.33,3.03030303,100.6897957,95.51
194,900,0.13,0.24,0.6,0.294012647,0.15,0.807293929,213.619162,4.737402724,0.33,3.03030303,111.4530184,109.99
195,700,0.12,0.27,0.6,0.280226206,0.15,0.821683497,161.1800745,6.278691724,0.33,3.03030303,261.6889195,259.11
196,1100,0.15,0.23,0.6,0.32037215,0.15,0.802156626,282.6875071,3.579924739,0.33,3.03030303,47.68763085,37.92
197,900,0.18,0.27,0.6,0.357407369,0.15,0.821683497,264.3081635,3.828863954,0.33,3.03030303,58.46266277,52.95
198,900,0.11,0.25,0.6,0.265971811,0.15,0.812252396,194.4326171,5.204888024,0.33,3.03030303,148.2325597,139.09
199,800,0.12,0.2,0.6,0.280226206,0.15,0.78551503,176.0975176,5.746815819,0.33,3.03030303,200.1219765,194.61
200,700,0.18,0.24,0.6,0.357407369,0.15,0.807293929,201.9729596,5.010571723,0.33,3.03030303,132.090187,127.29
201,800,0.11,0.31,0.6,0.265971811,0.15,0.838888526,178.4965606,5.669577031,0.33,3.03030303,192.0820798,189.65
202,1200,0.12,0.2,0.6,0.280226206,0.15,0.78551503,264.1462765,3.831210546,0.33,3.03030303,58.57130595,52.13
203,800,0.11,0.21,0.6,0.265971811,0.15,0.791284929,168.3675888,6.010658034,0.33,3.03030303,229.2818927,226.88
204,1000,0.19,0.24,0.6,0.369191897,0.15,0.807293929,298.0463769,3.395444731,0.33,3.03030303,40.62354084,39.32
205,700,0.16,0.3,0.6,0.333021283,0.15,0.834772605,194.5979307,5.200466399,0.33,3.03030303,147.8512959,138.49
206,1000,0.17,0.22,0.6,0.345357867,0.15,0.796825827,275.1900676,3.677458306,0.33,3.03030303,51.73459856,47.33
207,800,0.19,0.2,0.6,0.369191897,0.15,0.78551503,232.0046273,4.361981965,0.33,3.03030303,86.78325921,77.35
208,1200,0.19,0.27,0.6,0.369191897,0.15,0.821683497,364.0306669,2.779985568,0.33,3.03030303,22.16069918,15.98
209,1100,0.11,0.29,0.6,0.265971811,0.15,0.830538367,242.9897733,4.164784328,0.33,3.03030303,75.43155845,66.3
210,800,0.18,0.24,0.6,0.357407369,0.15,0.807293929,230.8262395,4.384250258,0.33,3.03030303,88.13276234,85.54
211,1000,0.1,0.24,0.6,0.251188643,0.15,0.807293929,202.7830665,4.99055477,0.33,3.03030303,130.4975938,126.7
212,900,0.2,0.29,0.6,0.380730788,0.15,0.830538367,284.5903741,3.555988158,0.33,3.03030303,46.72794529,39.59
213,1200,0.15,0.25,0.6,0.32037215,0.15,0.812252396,312.2676556,3.240809548,0.33,3.03030303,35.2723892,28.01
214,700,0.18,0.31,0.6,0.357407369,0.15,0.838888526,209.8774588,4.821861317,0.33,3.03030303,117.5838355,116.2
